field_1,API_NUMBER,TABLE_NAME,WHO,INTERPRET_DATE,FORMATION,THICKNESS,TOP,BOTTOM,LATITUDE,LONGITUDE,Elevation_point_data1
"556356","120350007800",FORMATION_TOPS,nan,nan,Paint Creek,,2371,2405,39.279519,-88.205335,595.845825195313
"556357","120350007800",FORMATION_TOPS,nan,nan,Pennsylvanian,,1640,1955,39.279519,-88.205335,595.845825195313
"556358","120350007800",FORMATION_TOPS,nan,nan,Renault,,2405,2449,39.279519,-88.205335,595.845825195313
"556359","120350007800",FORMATION_TOPS,nan,nan,Rosiclare,,2523,2555,39.279519,-88.205335,595.845825195313
"556360","120350007800",FORMATION_TOPS,nan,nan,Springfield Coal,,1108,1112,39.279519,-88.205335,595.845825195313
"556361","120350007800",FORMATION_TOPS,nan,nan,St Louis,,2666,,39.279519,-88.205335,595.845825195313
"556362","120350007800",FORMATION_TOPS,nan,nan,Tar Springs,,1994,2110,39.279519,-88.205335,595.845825195313
"556363","120350007800",FORMATION_TOPS,nan,nan,Vienna,,1955,1994,39.279519,-88.205335,595.845825195313
"556364","120350007800",FORMATION_TOPS,nan,nan,Waltersburg,,1955,,39.279519,-88.205335,595.845825195313
"2330946","121652394400",FORMATION_TOPS, ,nan,Barlow,,2028,2034,37.647821,-88.636109,377.853088378906
"2330947","121652394400",FORMATION_TOPS, ,nan,Glen Dean,,1750,1765,37.647821,-88.636109,377.853088378906
"2330948","121652394400",FORMATION_TOPS, ,nan,Golconda,,1860,,37.647821,-88.636109,377.853088378906
"2330949","121652394400",FORMATION_TOPS, ,nan,Kinkaid Lower,,1152,1180,37.647821,-88.636109,377.853088378906
"2330950","121652394400",FORMATION_TOPS, ,nan,Menard,,1509,1558,37.647821,-88.636109,377.853088378906
"2330951","121652394400",FORMATION_TOPS, ,nan,Rosiclare,,2422,,37.647821,-88.636109,377.853088378906
"2330952","121652394400",FORMATION_TOPS, ,nan,St Louis,,2590,,37.647821,-88.636109,377.853088378906
"2330953","121652394400",FORMATION_TOPS, ,nan,Ste Genevieve,,2368,,37.647821,-88.636109,377.853088378906
"2330954","121652394400",FORMATION_TOPS, ,nan,Vienna,,1608,1620,37.647821,-88.636109,377.853088378906
"1501552","121010579200",FORMATION_TOPS, ,nan,Barlow,,1529,1545,38.720424,-87.717377,453.764923095703
"1501553","121010579200",FORMATION_TOPS, ,nan,Cypress,,1600,1630,38.720424,-87.717377,453.764923095703
"1501554","121010579200",FORMATION_TOPS, ,nan,Glen Dean,,1400,1405,38.720424,-87.717377,453.764923095703
"1501555","121010579200",FORMATION_TOPS, ,nan,Paint Creek,,1660,1674,38.720424,-87.717377,453.764923095703
"1661055","121113026200",WFORMATIONS,nan,nan,brown clay,8,0,8,42.315688,-88.249416,770.876708984375
"1661056","121113026200",WFORMATIONS,nan,nan,clay,10,45,55,42.315688,-88.249416,770.876708984375
"1661057","121113026200",WFORMATIONS,nan,nan,gravel,10,55,65,42.315688,-88.249416,770.876708984375
"1661058","121113026200",WFORMATIONS,nan,nan,gravel,37,8,45,42.315688,-88.249416,770.876708984375
"891831","120610016700",FORMATION_TOPS,nan,nan,Chattanooga,,360,,39.473644,-90.556597,418.781372070313
"891832","120610016700",FORMATION_TOPS,nan,nan,Devonian,,485,,39.473644,-90.556597,418.781372070313
"891833","120610016700",FORMATION_TOPS,nan,nan,Keokuk,,172,,39.473644,-90.556597,418.781372070313
"891834","120610016700",FORMATION_TOPS,nan,nan,Kinderhook,,135,,39.473644,-90.556597,418.781372070313
"891835","120610016700",FORMATION_TOPS,nan,nan,Maquoketa,,300,,39.473644,-90.556597,418.781372070313
"891836","120610016700",FORMATION_TOPS,nan,nan,Silurian,,172,,39.473644,-90.556597,418.781372070313
"891837","120610016700",FORMATION_TOPS,nan,nan,Trenton,,485,,39.473644,-90.556597,418.781372070313
"2598225","121910011800",FORMATION_TOPS,nan,nan,Barlow,,2750,,38.466605,-88.413764,488.058410644531
"2598226","121910011800",FORMATION_TOPS,nan,nan,Bethel,,2961,,38.466605,-88.413764,488.058410644531
"2598227","121910011800",FORMATION_TOPS,nan,nan,Clore,,2168,,38.466605,-88.413764,488.058410644531
"2598228","121910011800",FORMATION_TOPS,nan,nan,Cypress,,2777,,38.466605,-88.413764,488.058410644531
"2598229","121910011800",FORMATION_TOPS,nan,nan,Degonia,,2168,,38.466605,-88.413764,488.058410644531
"2598230","121910011800",FORMATION_TOPS,nan,nan,Fredonia,,3138,,38.466605,-88.413764,488.058410644531
"2598231","121910011800",FORMATION_TOPS,nan,nan,Glen Dean,,2573,,38.466605,-88.413764,488.058410644531
"2598232","121910011800",FORMATION_TOPS,nan,nan,Glen Dean Lower,,2578,,38.466605,-88.413764,488.058410644531
"2598233","121910011800",FORMATION_TOPS,nan,nan,Golconda,,2670,,38.466605,-88.413764,488.058410644531
"2598234","121910011800",FORMATION_TOPS,nan,nan,Hardinsburg,,2590,,38.466605,-88.413764,488.058410644531
"2598235","121910011800",FORMATION_TOPS,nan,nan,Kinkaid,,2038,,38.466605,-88.413764,488.058410644531
"2598236","121910011800",FORMATION_TOPS,nan,nan,Kinkaid Lower,,2162,,38.466605,-88.413764,488.058410644531
"2598237","121910011800",FORMATION_TOPS,nan,nan,Menard,,2330,,38.466605,-88.413764,488.058410644531
"2598238","121910011800",FORMATION_TOPS,nan,nan,Menard,,2362,,38.466605,-88.413764,488.058410644531
"2598239","121910011800",FORMATION_TOPS,nan,nan,Paint Creek,,2925,,38.466605,-88.413764,488.058410644531
"2598240","121910011800",FORMATION_TOPS,nan,nan,Palestine,,2280,,38.466605,-88.413764,488.058410644531
"2598241","121910011800",FORMATION_TOPS,nan,nan,Renault,,3056,,38.466605,-88.413764,488.058410644531
"2598242","121910011800",FORMATION_TOPS,nan,nan,Rosiclare,,3060,,38.466605,-88.413764,488.058410644531
"2598243","121910011800",FORMATION_TOPS,nan,nan,Shoal Creek,,582,,38.466605,-88.413764,488.058410644531
"2598244","121910011800",FORMATION_TOPS,nan,nan,Tar Springs,,2478,,38.466605,-88.413764,488.058410644531
"2598245","121910011800",FORMATION_TOPS,nan,nan,Vienna,,2472,,38.466605,-88.413764,488.058410644531
"2598246","121910011800",FORMATION_TOPS,nan,nan,Waltersburg,,2382,,38.466605,-88.413764,488.058410644531
"2628915","121910735600",FORMATION_TOPS,ST,nan,Aux Vases,,3313,,38.270461,-88.229555,458.022216796875
"2628916","121910735600",FORMATION_TOPS,ST,nan,Fredonia,,3375,,38.270461,-88.229555,458.022216796875
"2628917","121910735600",FORMATION_TOPS,ST,nan,Glen Dean,,2822,,38.270461,-88.229555,458.022216796875
"2628918","121910735600",FORMATION_TOPS,ST,nan,Levias,,3359,,38.270461,-88.229555,458.022216796875
"2628919","121910735600",FORMATION_TOPS,ST,nan,McClosky,,3453,,38.270461,-88.229555,458.022216796875
"2090720","121432478500",WFORMATIONS,nan,nan,clay-gray,4,95,99,40.801561,-89.790689,595.791809082031
"2090721","121432478500",WFORMATIONS,nan,nan,clay-gray,12,45,57,40.801561,-89.790689,595.791809082031
"2090722","121432478500",WFORMATIONS,nan,nan,clay-gray,28,63,91,40.801561,-89.790689,595.791809082031
"2090723","121432478500",WFORMATIONS,nan,nan,clay-yellow,4,0,4,40.801561,-89.790689,595.791809082031
"2090724","121432478500",WFORMATIONS,nan,nan,gravel-coarse,6,57,63,40.801561,-89.790689,595.791809082031
"2090725","121432478500",WFORMATIONS,nan,nan,sand & gravel (clay below 107'),8,99,107,40.801561,-89.790689,595.791809082031
"2090726","121432478500",WFORMATIONS,nan,nan,sand-yellow,41,4,45,40.801561,-89.790689,595.791809082031
"2090727","121432478500",WFORMATIONS,nan,nan,soil,4,91,95,40.801561,-89.790689,595.791809082031
"2188471","121590281500",FORMATION_TOPS, ,nan,Aux Vases,,2883,2927,38.694249,-88.219127,471.523254394531
"2188472","121590281500",FORMATION_TOPS, ,nan,Barlow,,2550,2564,38.694249,-88.219127,471.523254394531
"2188473","121590281500",FORMATION_TOPS, ,nan,Benoist,,2810,2820,38.694249,-88.219127,471.523254394531
"2188474","121590281500",FORMATION_TOPS, ,nan,Cypress,,2594,2603,38.694249,-88.219127,471.523254394531
"2188475","121590281500",FORMATION_TOPS, ,nan,Paint Creek Lower,,2797,2803,38.694249,-88.219127,471.523254394531
"2188476","121590281500",FORMATION_TOPS, ,nan,Renault Lower,,2878,2883,38.694249,-88.219127,471.523254394531
"2188477","121590281500",FORMATION_TOPS, ,nan,Salem,,3491,,38.694249,-88.219127,471.523254394531
"2188478","121590281500",FORMATION_TOPS, ,nan,Ste Genevieve,,2927,,38.694249,-88.219127,471.523254394531
"1016","120010015100",WFORMATIONS,nan,nan,SS #10562,0,0,0,40.119244,-90.939252,691.484497070313
"1017","120010015100",WFORMATIONS,nan,nan,blue coal,15,95,110,40.119244,-90.939252,691.484497070313
"1018","120010015100",WFORMATIONS,nan,nan,blue coal,40,50,90,40.119244,-90.939252,691.484497070313
"1019","120010015100",WFORMATIONS,nan,nan,blue shale,5,145,150,40.119244,-90.939252,691.484497070313
"1020","120010015100",WFORMATIONS,nan,nan,no water from 95-208',3,205,208,40.119244,-90.939252,691.484497070313
"1021","120010015100",WFORMATIONS,nan,nan,rock,35,110,145,40.119244,-90.939252,691.484497070313
"1022","120010015100",WFORMATIONS,nan,nan,rock,55,150,205,40.119244,-90.939252,691.484497070313
"1023","120010015100",WFORMATIONS,nan,nan,shale & water,5,90,95,40.119244,-90.939252,691.484497070313
"1024","120010015100",WFORMATIONS,nan,nan,well 30',30,0,30,40.119244,-90.939252,691.484497070313
"1025","120010015100",WFORMATIONS,nan,nan,yellow clay,20,30,50,40.119244,-90.939252,691.484497070313
"2342723","121652648500",WFORMATIONS,nan,nan,damp clay,25,0,25,37.671854,-88.61051,381.741790771484
"2342724","121652648500",WFORMATIONS,nan,nan,gray shale,35,25,60,37.671854,-88.61051,381.741790771484
"2342725","121652648500",WFORMATIONS,nan,nan,gray shale with sand & lime,27,60,87,37.671854,-88.61051,381.741790771484
"2342726","121652648500",WFORMATIONS,nan,nan,hard lime,10,250,260,37.671854,-88.61051,381.741790771484
"2342727","121652648500",WFORMATIONS,nan,nan,hard limestone,16,212,228,37.671854,-88.61051,381.741790771484
"2342728","121652648500",WFORMATIONS,nan,nan,limestone (water),22,228,250,37.671854,-88.61051,381.741790771484
"2342729","121652648500",WFORMATIONS,nan,nan,limestone with shale & sand,123,87,210,37.671854,-88.61051,381.741790771484
"2342730","121652648500",WFORMATIONS,nan,nan,sandstone,2,210,212,37.671854,-88.61051,381.741790771484
"553333","120333778300",FORMATION_TOPS,BB,nan,Robinson,,916,918,39.057497,-87.872814,528.281616210938
"553334","120333778300",FORMATION_TOPS,BB,nan,Robinson,,964,975,39.057497,-87.872814,528.281616210938
"553335","120333778300",FORMATION_TOPS,BB,nan,Robinson,,980,996,39.057497,-87.872814,528.281616210938
"553336","120333778300",FORMATION_TOPS,BB,nan,Robinson,,1025,1036,39.057497,-87.872814,528.281616210938
"1075696","120850016900",WFORMATIONS,nan,nan,chert at,1,71,72,42.350413,-90.392515,666.462036132813
"1075697","120850016900",WFORMATIONS,nan,nan,chert at,3,68,71,42.350413,-90.392515,666.462036132813
"1075698","120850016900",WFORMATIONS,nan,nan,"dol,f,dns/vesc;thn brn dolc sh;sh ptgs",41,100,141,42.350413,-90.392515,666.462036132813
"1075699","120850016900",WFORMATIONS,nan,nan,"dol,grn/brn argil w/grn/brn sh lnes&ptgs",5,141,146,42.350413,-90.392515,666.462036132813
"1075700","120850016900",WFORMATIONS,nan,nan,"dol,lgt gry bf/lgt brn mtld,f,dns/vesc",15,26,41,42.350413,-90.392515,666.462036132813
"1075701","120850016900",WFORMATIONS,nan,nan,"dol,mtld,dns/ptly vesc;zo-rd brn dolc sh",25,41,66,42.350413,-90.392515,666.462036132813
"1075702","120850016900",WFORMATIONS,nan,nan,"dol,mtld,f,dns/vesc;cht nods",26,74,100,42.350413,-90.392515,666.462036132813
"1075703","120850016900",WFORMATIONS,nan,nan,"dol,mtld,f,dns/vesc;irreg brn,argil area",2,66,68,42.350413,-90.392515,666.462036132813
"1075704","120850016900",WFORMATIONS,nan,nan,"dol,sy,f-med,vesc,ptly vy argil;grnsh",8,154,162,42.350413,-90.392515,666.462036132813
"1075705","120850016900",WFORMATIONS,nan,nan,"dol;argil zos&ptgs;grds/dol,grn brn ptgs",8,146,154,42.350413,-90.392515,666.462036132813
"1075706","120850016900",WFORMATIONS,nan,nan,"ls,crs,vy fosf;intbd brn sh zo;bent@bs",1,176,177,42.350413,-90.392515,666.462036132813
"1075707","120850016900",WFORMATIONS,nan,nan,"ls,f/crs,dns;thn sh ptgs,dolc,rd brn",6,162,168,42.350413,-90.392515,666.462036132813
"1075708","120850016900",WFORMATIONS,nan,nan,"ls,xtr f,dns;intbd thn sh,brn;phos nods",5,168,173,42.350413,-90.392515,666.462036132813
"1075709","120850016900",WFORMATIONS,nan,nan,"same dol;no argil areas",2,72,74,42.350413,-90.392515,666.462036132813
"1075710","120850016900",WFORMATIONS,nan,nan,"sh,bl grn,smo;ls nr top crs,vy fosf,mtld",3,173,176,42.350413,-90.392515,666.462036132813
"1075711","120850016900",WFORMATIONS,nan,nan,"shale,dolomitic,brown",0,66,66,42.350413,-90.392515,666.462036132813
"1075712","120850016900",WFORMATIONS,nan,nan,"shale,dolomitic,light brown to brown",0,74,74,42.350413,-90.392515,666.462036132813
"1075713","120850016900",WFORMATIONS,nan,nan,topsoil,26,0,26,42.350413,-90.392515,666.462036132813
"605969","120392140600",WFORMATIONS,nan,nan,gray clay,58,182,240,40.267077,-89.016479,738.698303222656
"605970","120392140600",WFORMATIONS,nan,nan,med to coarse sand & gravel,18,337,355,40.267077,-89.016479,738.698303222656
"605971","120392140600",WFORMATIONS,nan,nan,medium sand & gravel,27,310,337,40.267077,-89.016479,738.698303222656
"605972","120392140600",WFORMATIONS,nan,nan,soft gray clay,69,35,104,40.267077,-89.016479,738.698303222656
"605973","120392140600",WFORMATIONS,nan,nan,yellow clay,12,0,12,40.267077,-89.016479,738.698303222656
"606287","120392140600",WFORMATIONS,nan,nan,fine sand & clay,7,258,265,40.267077,-89.016479,738.698303222656
"606288","120392140600",WFORMATIONS,nan,nan,fine sand & clay,10,155,165,40.267077,-89.016479,738.698303222656
"606289","120392140600",WFORMATIONS,nan,nan,fine sand & gravel,5,245,250,40.267077,-89.016479,738.698303222656
"606290","120392140600",WFORMATIONS,nan,nan,fine sand & gravel,30,280,310,40.267077,-89.016479,738.698303222656
"606291","120392140600",WFORMATIONS,nan,nan,fine sand & gray clay,5,240,245,40.267077,-89.016479,738.698303222656
"606292","120392140600",WFORMATIONS,nan,nan,fine sand & gray clay,10,270,280,40.267077,-89.016479,738.698303222656
"606293","120392140600",WFORMATIONS,nan,nan,fine sand & gray clay,12,170,182,40.267077,-89.016479,738.698303222656
"606294","120392140600",WFORMATIONS,nan,nan,fine sand & green clay,5,265,270,40.267077,-89.016479,738.698303222656
"606295","120392140600",WFORMATIONS,nan,nan,fine sand w/green & gray clay,5,165,170,40.267077,-89.016479,738.698303222656
"606296","120392140600",WFORMATIONS,nan,nan,gravel,1,104,105,40.267077,-89.016479,738.698303222656
"606297","120392140600",WFORMATIONS,nan,nan,gravel,1,117,118,40.267077,-89.016479,738.698303222656
"606298","120392140600",WFORMATIONS,nan,nan,gravel,2,124,126,40.267077,-89.016479,738.698303222656
"606299","120392140600",WFORMATIONS,nan,nan,gray clay,6,118,124,40.267077,-89.016479,738.698303222656
"606300","120392140600",WFORMATIONS,nan,nan,gray clay,8,250,258,40.267077,-89.016479,738.698303222656
"606301","120392140600",WFORMATIONS,nan,nan,gray clay,12,105,117,40.267077,-89.016479,738.698303222656
"606302","120392140600",WFORMATIONS,nan,nan,gray clay,23,12,35,40.267077,-89.016479,738.698303222656
"606303","120392140600",WFORMATIONS,nan,nan,gray clay,29,126,155,40.267077,-89.016479,738.698303222656
"2158072","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"Box #1. Core covered by coal dust - hard to log. Limestone (Bankston Fork) - light gray, fine grained, hard, massive, some coarser fossiliferous fragments, small brachiopods noted. Few thin argillaceous partings 0.5' of core loss. Sharp contact:",2.5,165.5,168,38.152155,-89.613292,506.739929199219
"2158073","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"Box #2. Shale (Conant) - dark gray, very firm, calcareous, poorly bedded, smooth to carbonaceous, thin bands of medium-grained white fossiliferous debris, mostly shell fragments and crinoid columnals. Large productids present.",2.45,175.25,177.7,38.152155,-89.613292,506.739929199219
"2158074","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,Box #4 Note: Box misnumbered. Should be Box #3. Limestone - as above. Sharp contact.,1.9,185.1,187,38.152155,-89.613292,506.739929199219
"2158075","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"Box #5. Note: (Misnumbered - should be Box #4). Limestone - as above, coarse shell fragments in lower part, grades into.",2,200.2,202.2,38.152155,-89.613292,506.739929199219
"2158076","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,End of core,0,209.5,209.5,38.152155,-89.613292,506.739929199219
"2158077","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,Herrin (No. 6) - coal - removed by company. Note in box.,5.95,187.4,193.35,38.152155,-89.613292,506.739929199219
"2158078","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"claystone (""Clod"") - dark gray, firm, top highly calcareous, base not, carbonaceous, abundant coarse fossiliferous shell fragments, pyritic.",0.4,187,187.4,38.152155,-89.613292,506.739929199219
"2158079","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"claystone - dark gray, lighter near base, weak, crumbly, slickensided, smooth, carbonaceous, especially near top. Grades into.",1.95,193.35,195.3,38.152155,-89.613292,506.739929199219
"2158080","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"claystone - dark greenish gray, upper half very weak, crumbled, slickensided and carbonaceous, lower half slightly firmer, less carbonaceous, and has small reddish-brown inclusions.",1.5,208,209.5,38.152155,-89.613292,506.739929199219
"2158081","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"claystone - greenish gray, mottled, weak, slickensided, carbonaceous, crumbly near base, non-calcareous. Darker downward but fairly sharp contact.",0.75,205.9,206.65,38.152155,-89.613292,506.739929199219
"2158082","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"claystone - olive gray, firmer than above, calcareous with small white limestone nodules in lower part, less carbonaceous than above, slickensided. Grades into:",1.2,195.3,196.5,38.152155,-89.613292,506.739929199219
"2158083","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"claystone - probably a clay dike. Greenish-yellow mottled, dry, very weak, crumbled, weathered pyrite. Slip surfaces at top. Bottom intrudes irregularly into coal below. Some core loss.",0.55,207.15,207.7,38.152155,-89.613292,506.739929199219
"2158084","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"coal (Harrisburg No. 5) - dull, bony, pyritic, with black carbonaceous shale and plant impressions, bedding indistinct and appears distored. Contact zone crumbled.",0.32,206.83,207.15,38.152155,-89.613292,506.739929199219
"2158085","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"coal (Harrisburg No. 5) - normally bright banded, firm. Prominent thin calcite-filled vertical fractures. ""Goat Beards"" below the low point of the clay intrusion. Sharp bottom contact.",0.3,207.7,208,38.152155,-89.613292,506.739929199219
"2158086","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"limestone (Brereton) - medium gray, fine grained, hard, dense, massive, with bands of darker argillaceous limestone containing medium grained white fossiliferous fragments.",1.7,183.4,185.1,38.152155,-89.613292,506.739929199219
"2158087","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"limestone (Conant) - dark gray, very fine grained with fine white fossiliferous debris in thin bands, hard, massive, no fossils identified. Laminated near base, grades into:",1,177.7,178.7,38.152155,-89.613292,506.739929199219
"2158088","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"limestone (Conant) - dark gray, very fine grained with large white shell fragments. Productid brachiopods. Hard, dense, massive, uniform. Sharp contact.",1.85,173.4,175.25,38.152155,-89.613292,506.739929199219
"2158089","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"limestone (Higginsville) - greenish gray with white nodules. Matrix weak, highly argillaceous, or very calcareous claystone. Contains darker mottling. Nodules highly irregular in shape and size, fractured, unevenly dispersed. Unit weak.",3.7,196.5,200.2,38.152155,-89.613292,506.739929199219
"2158090","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"limestone (St. David) - light to medium gray, greenish hue, variable texture - zoned, some zones very fine grained, massive, hard and light gray, other zones coarsely fossiliferous with brachiopod shells and crinoid columnals, and impure and argillaceous, still other zones nodular with shaley matrix. Poorly laminated, fossiliferous fragments trend parallel to laminations. Sharp contact.",2.8,203.1,205.9,38.152155,-89.613292,506.739929199219
"2158091","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"limestone (top part of Brereton) - dark gray, coarse white fossiliferous fragments in fine grained matrix, firm but not solid, argillaceous, carbonaceous, non laminated. Grades into:",0.6,182.8,183.4,38.152155,-89.613292,506.739929199219
"2158092","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"shale (Jamestown Coal Horizon) - dark gray to black, moderately soft to moderately firm, poor to fair bedded, calcareous with thin laminae of fossiliferous fragments and fine grained limestone near top, occasional fossiliferous fragments throughout. Carbonaceous. Some zones may be ostracods (very small). Grades into.",4.1,178.7,182.8,38.152155,-89.613292,506.739929199219
"2158093","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"shale (Lawson) - dark gray, near top mottled with light greenish-gray, smooth, fair bedded, soft, slightly calcareous near top. Contains abundant shell fragments near top, abundant Mesolobus. Fairly sharp contact.",2.5,168,170.5,38.152155,-89.613292,506.739929199219
"2158094","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"shale (Lawson) - dark gray, very hard, poorly bedded, calcareous. Bands of coarse white shell fragments, mostly large productid brachiopods including Dictyoclostus. Grades into.",2.9,170.5,173.4,38.152155,-89.613292,506.739929199219
"2158095","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"shale - black, poorly bedded, highly carbonaceous, bedding surfaces very rough, non-calcarous, fairly firm, discontinuous parallel light, very thin laminations (phosphatic?)",0.18,206.65,206.83,38.152155,-89.613292,506.739929199219
"2158096","121572293500",DESCRIPTIONS,JWL,11/18/1975 0:00:00,"shale - light greenish-gray, weak, soft, poorly bedded, non-calcareous, but contains small white irregular limestone nodules, minor carbonaceous debris, contains large strophomenid brachiopods. Slightly mottled, and slickensided. Fairly sharp contact.",0.9,202.2,203.1,38.152155,-89.613292,506.739929199219
"2158097","121572293500",FORMATION_TOPS,WJN,nan,Bankston Fork,,166,168,38.152155,-89.613292,506.739929199219
"2158098","121572293500",FORMATION_TOPS,WJN,nan,Brereton,,183,,38.152155,-89.613292,506.739929199219
"2158099","121572293500",FORMATION_TOPS,WJN,nan,Conant,,173,,38.152155,-89.613292,506.739929199219
"2158100","121572293500",FORMATION_TOPS,WJN,nan,Harrisburg Coal,,207,207,38.152155,-89.613292,506.739929199219
"2158101","121572293500",FORMATION_TOPS,WJN,nan,Harrisburg Coal,,207,208,38.152155,-89.613292,506.739929199219
"2158102","121572293500",FORMATION_TOPS,WJN,nan,Herrin Coal #6,,187,193,38.152155,-89.613292,506.739929199219
"2158103","121572293500",FORMATION_TOPS,WJN,nan,Jamestown,,179,183,38.152155,-89.613292,506.739929199219
"2158104","121572293500",FORMATION_TOPS,WJN,nan,Lawson,,168,,38.152155,-89.613292,506.739929199219
"2158105","121572293500",FORMATION_TOPS,WJN,nan,St David,,203,206,38.152155,-89.613292,506.739929199219
"1239001","120932471000",DESCRIPTIONS,BBC,5/9/2007 0:00:00,"as above, except Fe/Mn concretions are common and matrix becomes deoxidized with depth (olive yellow 2.5Y 6/6)",0.8,4,4.8,41.55608,-88.31858,593.205749511719
"1239002","120932471000",DESCRIPTIONS,BBC,5/9/2007 0:00:00,"as above, in general, zones are bioturbated (olive grey 5Y 4/2) contrasting with olive grey (5Y 5/2) intercalated with zones with few to uncommon laminae of calcareous silt and very fine sand",4,8,12,41.55608,-88.31858,593.205749511719
"1239003","120932471000",DESCRIPTIONS,BBC,5/9/2007 0:00:00,core loss,0.4,7.6,8,41.55608,-88.31858,593.205749511719
"1239004","120932471000",DESCRIPTIONS,BBC,5/9/2007 0:00:00,core loss,1.2,2.8,4,41.55608,-88.31858,593.205749511719
"1239005","120932471000",DESCRIPTIONS,BBC,5/9/2007 0:00:00,"diamicton, sandy loam, clast rich (mostly dolomite)",0.5,15,15.5,41.55608,-88.31858,593.205749511719
